,cycle_number,z_0,v_ref,h_ref
0,1,0.09999999999999999,4.522988936397904,6.0
1,2,0.09999999999999999,4.9421043965479505,6.0
2,3,0.09999999999997064,4.886719592498747,6.0
3,4,0.09999999999980821,4.803892044146026,6.0
4,5,0.09999999999999964,4.4562425197050715,6.0
5,6,0.09999999999999223,4.847747126031034,6.0
6,7,0.09999999999999999,4.970012712799895,6.0
7,8,0.09999999999999998,4.942280079523833,6.0
8,9,0.09999999999999999,4.713902802813526,6.0
9,10,0.09999999999999999,4.661545191558927,6.0
10,11,0.09999999999999999,4.538627347908842,6.0
11,12,0.09999999999999999,4.580259728293818,6.0
12,13,0.09999999999999999,5.077692063428828,6.0
13,14,0.09999999999912386,4.746630304825861,6.0
14,15,0.09999999999993281,5.019636816242674,6.0
15,16,0.09999999999999915,5.393873912665058,6.0
16,17,0.09999999999999999,5.137813250723042,6.0
17,18,0.09999999999999964,5.3652312226144545,6.0
18,19,0.09999999999999999,4.696984590659031,6.0
19,20,0.09999999999999999,5.102075452226324,6.0
20,21,0.09999999999999995,4.908833069832973,6.0
21,22,0.09999999999997,4.834842835097146,6.0
22,23,0.09999999999973319,4.707534740359816,6.0
23,24,0.09999999999999998,4.426721736490523,6.0
24,25,0.0999999999999928,4.33170029238582,6.0
25,26,0.09999999999999978,4.893527091460078,6.0
26,27,0.09999999999999999,5.163218793575895,6.0
27,28,0.09999999999981007,5.037968440844078,6.0
28,29,0.09999999999999955,5.41417075916756,6.0
29,30,0.09999999999999999,5.214646321705627,6.0
30,31,0.09999999999999999,4.675965283535645,6.0
31,32,0.09999999999999999,4.70249392516175,6.0
32,33,0.09999999999999999,5.144051689696146,6.0
33,34,0.09999999999999999,5.139358939843575,6.0
34,35,0.09999999999999837,5.562603212782588,6.0
35,36,0.09999999999999999,5.13250776820534,6.0
36,37,0.09999999999999963,5.356316133074151,6.0
37,38,0.09999999999992482,5.0279849316307965,6.0
38,39,0.09999999999999973,4.8644698311659464,6.0
39,40,0.09999999999999708,5.547811350000096,6.0
40,41,0.09999999999999203,4.808698074544619,6.0
41,42,0.09999999999999999,4.683285128304043,6.0
42,43,0.09999999999999994,5.30303312237599,6.0
43,44,0.09999999999999996,5.247854338191849,6.0
44,45,0.09999999999999999,5.177508553223509,6.0
45,46,0.09999999999999999,5.054026628797746,6.0
46,47,0.09999999999999637,4.85682733578628,6.0
47,48,0.09999999999999999,4.335330316666357,6.0
48,49,0.09999999999999999,4.60624400204115,6.0
49,50,0.09999999999998979,5.67000513129412,6.0
50,51,0.09999999999973501,5.895526057716715,6.0
51,52,0.09999999999999379,5.659887517412265,6.0
52,53,0.09999999999999931,5.429729398096315,6.0
53,54,0.09999999999999713,5.00875259399289,6.0
54,55,0.09999999999999999,5.145069279558715,6.0
55,56,0.09999999999999412,5.6844040399589355,6.0
56,57,0.09999999999999999,4.970825965885809,6.0
57,58,0.09999999999999708,4.842881691975221,6.0
58,59,0.099999999999995,4.240283972261243,6.0
59,60,0.09999999999847199,4.872869294749114,6.0
60,61,0.09999999999991964,5.733585913948682,6.0
61,62,0.09999999999998797,5.6236443075074805,6.0
62,63,0.09999999999999871,5.578914288887442,6.0
63,64,0.09999999999999992,5.272068910022005,6.0
64,65,0.09999999999999999,4.924739226978996,6.0
65,66,0.09999999999997644,5.719647722357702,6.0
66,67,0.09999999999999998,5.281112696967495,6.0
67,68,0.09999999999997955,5.84862868863371,6.0
68,69,0.09999999999999158,5.72450312322407,6.0
69,70,0.09999999999999955,5.488433889261617,6.0
70,71,0.09999999999995372,5.987164719295021,6.0
71,72,0.09999999999998309,5.841605053165796,6.0
72,73,0.09999999999997503,5.6557953703712025,6.0
73,74,0.09999999999999902,5.472975994968962,6.0
74,75,0.09999999999999935,5.484172059388479,6.0
75,76,0.09999999999954827,6.172835911398459,6.0
76,77,0.0999999999999433,5.962638595221954,6.0
77,78,0.0999999999999745,5.889205067853663,6.0
78,79,0.09999999999995546,5.947205062667636,6.0
79,80,0.0999999999998277,5.037217377682684,6.0
80,81,0.09999999999999917,5.3844049450102425,6.0
81,82,0.09999999999982388,5.93853300418498,6.0
82,83,0.0999999999999995,5.444575141470959,6.0
83,84,0.09999999999999873,5.5195092217528146,6.0
84,85,0.09999999999999991,5.359093826705415,6.0
85,86,0.09999999999999999,4.655194785386626,6.0
86,87,0.09999999999999991,4.408699548648348,6.0
87,88,0.0999999999999995,5.350606187760962,6.0
